accession,length,description
KS718337.1,100,"InSITE_1015 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
KG779804.1,100,"MI11401-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048508.1,100,"Drosophila melanogaster mir-279 precursor RNA (mir-279), miRNA"
KG961547.1,100,"MI13226-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
KG816949.1,100,"MI11338-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
KO454790.1,100,"MI13447-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_003794.1,100,"Drosophila melanogaster snoRNA:Me18S-C1366 (snoRNA:Me18S-C1366), snoRNA"
NR_048100.1,100,"Drosophila melanogaster mir-184 precursor RNA (mir-184), miRNA"
NR_047831.1,100,"Drosophila melanogaster mir-210 precursor RNA (mir-210), miRNA"
NR_048378.1,100,"Drosophila melanogaster mir-284 precursor RNA (mir-284), miRNA"
NR_048162.1,100,"Drosophila melanogaster mir-286 precursor RNA (mir-286), miRNA"
KO455012.1,100,"MI14153-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_047906.1,100,"Drosophila melanogaster mir-964 precursor RNA (mir-964), miRNA"
KG960074.1,100,"d00403-5prime Exelixis P element XP insertions Drosophila melanogaster genomic 5', genomic survey sequence"
NR_047985.1,100,"Drosophila melanogaster mir-124 precursor RNA (mir-124), miRNA"
NR_047996.1,100,"Drosophila melanogaster mir-100 precursor RNA (mir-100), miRNA"
NR_048261.1,100,"Drosophila melanogaster mir-274 precursor RNA (mir-274), miRNA"
NR_048240.1,100,"Drosophila melanogaster mir-190 precursor RNA (mir-190), miRNA"
NR_048289.1,100,"Drosophila melanogaster mir-219 precursor RNA (mir-219), miRNA"
KO455441.1,100,"MI15272-5prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 5', genomic survey sequence"
NR_048360.1,100,"Drosophila melanogaster mir-277 precursor RNA (mir-277), miRNA"
KO453877.1,100,"MI12602-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
NR_048506.1,100,"Drosophila melanogaster mir-4947 precursor RNA (mir-4947), miRNA"
NR_048488.1,100,"Drosophila melanogaster mir-92b precursor RNA (mir-92b), miRNA"
NR_048484.1,100,"Drosophila melanogaster mir-1000 precursor RNA (mir-1000), miRNA"
KS718216.1,100,"c06930-5prime Exelixis piggyBac PB insertions Drosophila melanogaster genomic 5', genomic survey sequence"
MQ189222.1,100,Sequence 75 from Patent EP3873505
KS718485.1,100,"InSITE_3077 InSITE collection Drosophila melanogaster genomic, genomic survey sequence"
NR_047809.1,100,"Drosophila melanogaster mir-283 precursor RNA (mir-283), miRNA"
NR_048064.1,100,"Drosophila melanogaster mir-986 precursor RNA (mir-986), miRNA"
NR_048089.1,99,"Drosophila melanogaster mir-988 precursor RNA (mir-988), miRNA"
NR_003785.1,99,"Drosophila melanogaster snoRNA:MeU6-C68 (snoRNA:MeU6-C68), snoRNA"
NR_047759.1,99,"Drosophila melanogaster mir-983-2 precursor RNA (mir-983-2), miRNA"
KO454726.1,99,"MI12473-3prime MI transposon insertion flanking sequences Drosophila melanogaster genomic 3', genomic survey sequence"
